95: StephenWoodard 70.812494; 90% interval: (70.790500, 71.845309)
96: WesShort 70.813486; 90% interval: (69.608545, 71.818313)
97: BobFord 70.816330; 90% interval: (70.580021, 70.820370)
98: MarkHayes 70.834298; 90% interval: (69.835509, 71.818313)
99: RobertGamez 70.843606; 90% interval: (69.753439, 71.818313)
100: RobertThompson 70.846989; 90% interval: (70.221954, 71.818313)
101: NickCassini 70.849011; 90% interval: (68.785296, 71.818313)
102: CraigStevens 70.857930; 90% interval: (70.824655, 71.818313)
103: TrevorDodds 70.860286; 90% interval: (69.211584, 71.818313)
104: PhilBlackmar 70.866186; 90% interval: (70.081596, 71.818313)
105: PatPerez 70.879863; 90% interval: (70.540442, 71.818313)
106: TimTims 70.886741; 90% interval: (70.615834, 71.972011)
107: LucasGlover 70.891340; 90% interval: (69.910406, 71.818313)
108: BrianHarman 70.901166; 90% interval: (70.411969, 71.818313)
109: CraigParry 70.915463; 90% interval: (69.637151, 71.818313)
110: RobertAllenby 70.918699; 90% interval: (70.808802, 71.912451)
111: BillyMayfair 70.927319; 90% interval: (68.197637, 71.818313)
112: DonPooley 70.945740; 90% interval: (70.927569, 71.920688)
113: ScottVerplank 70.959907; 90% interval: (70.772098, 71.881131)
114: AdamScott 70.969503; 90% interval: (69.355498, 71.818313)
115: NickWatney 70.970801; 90% interval: (70.443090, 71.818313)
116: JasonLaing 70.975175; 90% interval: (70.260447, 71.818313)
117: EduardoRomero 70.979498; 90% interval: (70.739234, 71.818313)
118: StevenTate 70.979800; 90% interval: (70.521487, 71.818313)
119: JoseMariaOlazabal 70.979961; 90% interval: (70.823139, 71.818313)
120: AlanMorin 71.002521; 90% interval: (70.576579, 71.818313)
121: BobBurns 71.004773; 90% interval: (70.439745, 71.818313)
122: DerekSanders 71.006804; 90% interval: (70.712192, 72.193220)
123: DavidBranshaw 71.018198; 90% interval: (69.415448, 71.818313)
124: TomKite 71.020119; 90% interval: (70.574478, 71.818313)
125: DavidPeoples 71.025839; 90% interval: (68.954788, 72.744263)
126: BrettRumford 71.029517; 90% interval: (70.009698, 71.818313)
127: PatBates 71.036502; 90% interval: (70.610408, 71.818313)
128: ScottHeyn 71.040644; 90% interval: (70.955471, 71.818313)
129: ScottSimpson 71.046322; 90% interval: (70.819367, 71.987639)
130: GarrettWillis 71.052018; 90% interval: (70.537609, 71.818313)
131: ScottHend 71.059421; 90% interval: (70.009679, 71.818313)
132: RichBeem 71.062494; 90% interval: (70.473790, 71.818313)
133: HunterMahan 71.062892; 90% interval: (69.692380, 72.937547)
134: TomLehman 71.063149; 90% interval: (70.931491, 71.818313)
135: JamieRogers 71.069104; 90% interval: (67.460513, 71.818313)
136: TimHerron 71.081233; 90% interval: (69.265587, 71.818313)
137: JasonHartwick 71.131992; 90% interval: (71.104213, 71.818313)
138: KenDuke 71.138567; 90% interval: (69.266702, 71.818313)
139: SteveBurns 71.145174; 90% interval: (70.982084, 71.818313)
140: BrendanJones 71.147652; 90% interval: (70.802731, 71.818313)
141: AdamMeyer 71.153173; 90% interval: (70.775578, 71.818313)
142: J.L.Lewis 71.153434; 90% interval: (70.867455, 72.486048)
143: RaymondFloyd 71.159729; 90% interval: (71.016366, 71.818313)
144: KevinHaefner 71.164252; 90% interval: (71.085490, 71.818313)
145: DeanProwse 71.164998; 90% interval: (69.459343, 71.818313)
146: RickyBarnes 71.174166; 90% interval: (71.080599, 72.265964)
147: NotahBegayIII 71.180471; 90% interval: (70.196597, 71.818313)
148: GeoffOgilvy 71.182142; 90% interval: (70.790693, 72.114857)
149: JackNicklaus 71.183276; 90% interval: (69.811535, 71.872223)
150: RickLeibovich 71.184455; 90% interval: (70.504554, 71.788347)
151: TimParun 71.186786; 90% interval: (68.703114, 71.818313)
152: GraemeMcDowell 71.189570; 90% interval: (70.336222, 71.818313)
153: DavidCarr 71.195690; 90% interval: (70.327728, 71.818313)
154: CaryHungate 71.200831; 90% interval: (70.963718, 71.818313)
155: KennyKnox 71.208386; 90% interval: (70.939076, 71.846282)
156: MarcoRuiz 71.208637; 90% interval: (70.908255, 71.818313)
157: JonathanKaye 71.211148; 90% interval: (70.077102, 71.818313)
158: RetiefGoosen 71.221033; 90% interval: (69.524781, 72.317592)
159: MichaelAllen 71.224221; 90% interval: (70.902638, 71.818313)
160: MikeStandly 71.232765; 90% interval: (70.517019, 72.589823)
161: DannyMulhearn 71.233923; 90% interval: (70.432413, 71.818313)
162: RoyBiancalana 71.234410; 90% interval: (70.868864, 71.818313)
163: MikeSchuchart 71.242049; 90% interval: (70.261732, 71.818313)
164: VictorSchwamkrug 71.244233; 90% interval: (71.239351, 71.927856)
165: AlexCejka 71.244764; 90% interval: (71.105262, 72.340781)
166: OscarAlvarez 71.249752; 90% interval: (70.538817, 71.818313)
167: LeeRinker 71.262307; 90% interval: (70.816184, 72.007439)
168: JohnMorse 71.264194; 90% interval: (70.786114, 71.818313)
169: MarcoDawson 71.269387; 90% interval: (71.118760, 71.284088)
170: HalSutton 71.271960; 90% interval: (71.230264, 71.818313)
171: JustinHicks 71.273639; 90% interval: (69.719069, 71.818313)
172: JoelEdwards 71.276952; 90% interval: (70.807652, 71.818313)
173: LonnyAlexander 71.285886; 90% interval: (70.374848, 71.818313)
174: JerryHaas 71.289794; 90% interval: (71.182185, 71.818313)
175: DavidHearn 71.291347; 90% interval: (71.200092, 72.517570)
176: FredrikJacobson 71.300486; 90% interval: (69.414792, 71.818313)
177: TyArmstrong 71.304416; 90% interval: (68.549466, 71.818313)
178: JayHaas 71.310563; 90% interval: (71.158273, 71.344832)
179: CarlPaulson 71.315019; 90% interval: (71.233997, 71.818313)
180: DennisPaulson 71.324312; 90% interval: (70.111668, 71.818313)
181: ShigekiMaruyama 71.328976; 90% interval: (70.922960, 71.818313)
182: BradBryant 71.336717; 90% interval: (70.560230, 73.519610)
183: ArnoldPalmer 71.340527; 90% interval: (70.546146, 73.602822)
184: TomPernice,Jr. 71.346134; 90% interval: (71.345066, 71.818313)
185: LorenPersonett 71.350378; 90% interval: (71.191106, 71.818313)
186: JayDonBlake 71.367292; 90% interval: (71.171365, 71.818313)
187: MarkO'Meara 71.374193; 90% interval: (71.053798, 71.818313)
188: AkioSadakata 71.377214; 90% interval: (68.354317, 71.818313)
189: PaytonOsborn 71.391431; 90% interval: (71.182744, 71.818313)
190: MiguelRivera 71.392039; 90% interval: (71.084594, 71.644471)
191: KevinStadler 71.398906; 90% interval: (71.199365, 71.818313)
192: DuffyWaldorf 71.407381; 90% interval: (70.245352, 71.818313)
193: JoeySindelar 71.412732; 90% interval: (71.069693, 71.818313)
194: ScottMcCarron 71.412940; 90% interval: (70.591187, 71.818313)
195: StephenLeaney 71.414851; 90% interval: (70.908905, 71.818313)
196: JimSchouller,Jr. 71.427736; 90% interval: (71.384280, 71.818313)
197: MattGogel 71.449964; 90% interval: (70.630177, 71.818313)
198: AlanSchulte 71.451145; 90% interval: (70.956679, 71.818313)
199: DavidLebeck 71.452033; 90% interval: (70.398260, 71.818313)
200: ToddGleaton 71.466126; 90% interval: (71.066234, 71.818313)
201: RobertHamilton 71.471489; 90% interval: (70.725477, 71.818313)
202: K.J.Choi 71.474107; 90% interval: (70.983694, 71.818313)
203: JohnShawver 71.478784; 90% interval: (70.092622, 71.818313)
204: MyungJunPark 71.488330; 90% interval: (70.543656, 71.818313)
205: J.B.Sneve 71.508256; 90% interval: (70.975585, 71.818313)
206: BubbaWatson 71.511568; 90% interval: (71.411372, 71.894582)
207: NolanHenke 71.513722; 90% interval: (70.777498, 71.818313)
208: EdFryatt 71.518523; 90% interval: (71.455608, 73.169553)
209: BrianKortan 71.519190; 90% interval: (71.003483, 71.818313)
210: CarlosFranco 71.522331; 90% interval: (71.273343, 71.818313)
211: RobertDeruntz 71.525813; 90% interval: (71.509279, 72.397438)
212: ErikCompton 71.540026; 90% interval: (70.387029, 71.818313)
213: CraigBowden 71.543947; 90% interval: (70.435225, 71.818313)
214: BradLardon 71.551444; 90% interval: (70.496313, 71.818313)
215: BradSutterfield 71.557695; 90% interval: (70.892681, 71.818313)
216: DonnieHammond 71.558530; 90% interval: (69.815153, 71.818313)
217: SamRandolph 71.559435; 90% interval: (70.583329, 72.229869)
218: BobTway 71.562065; 90% interval: (69.832801, 71.818313)
219: JerrySmith 71.564736; 90% interval: (70.812864, 72.449955)
220: ToshiIzawa 71.566437; 90% interval: (71.237677, 72.340816)
221: TatsuakiNakamura 71.572571; 90% interval: (71.341153, 71.898919)
222: KevinNa 71.574665; 90% interval: (71.224155, 71.818313)
223: KeiichiroFukabori 71.574690; 90% interval: (70.614406, 71.818313)
224: JimSchuman 71.589192; 90% interval: (70.143855, 72.257296)
225: JamesLepp 71.592240; 90% interval: (71.075768, 71.818313)
226: DannyEllis 71.597255; 90% interval: (70.824274, 71.818313)
227: CharletonDechert 71.597629; 90% interval: (71.125012, 71.748789)
228: DanielChopra 71.598097; 90% interval: (71.409227, 71.818313)
229: KentJones 71.609072; 90% interval: (71.101863, 72.963190)
230: JimCarter 71.612767; 90% interval: (70.429802, 71.954967)
231: D.J.Trahan 71.622964; 90% interval: (71.194423, 71.695293)
232: KenGreen 71.624096; 90% interval: (69.219561, 71.818313)
233: RickFehr 71.624853; 90% interval: (71.333611, 71.818313)
234: JohnDaly 71.627132; 90% interval: (71.516740, 73.060448)
235: RichardScott 71.627849; 90% interval: (71.310518, 71.943651)
236: AngelCabrera 71.634377; 90% interval: (70.549022, 71.890654)
237: DanPohl 71.634901; 90% interval: (70.881988, 72.186689)
238: KennyPerry 71.635309; 90% interval: (70.731368, 72.581376)
239: CharleyHoffman 71.636592; 90% interval: (70.049447, 71.818313)
240: ChrisSmith 71.662325; 90% interval: (70.516342, 71.866516)
241: LenMattiace 71.665768; 90% interval: (71.617772, 73.036677)
242: JasonGore 71.674506; 90% interval: (69.923542, 71.818313)
243: LeifOlsen 71.681124; 90% interval: (71.302506, 73.180697)
244: JonathanByrd 71.686619; 90% interval: (70.875819, 73.054061)
245: FrankLickliter 71.691622; 90% interval: (70.594016, 71.818313)
246: ZachJohnson 71.695585; 90% interval: (71.459166, 73.285101)
247: ScottGutschewski 71.698465; 90% interval: (70.769458, 73.007222)
248: D.J.Brigman 71.699405; 90% interval: (69.111684, 71.818313)
249: SteveVecellio 71.705258; 90% interval: (70.272244, 71.818313)
250: DirkAyers 71.708389; 90% interval: (69.012679, 71.818313)
251: JoeOgilvie 71.711628; 90% interval: (71.148286, 71.818313)
252: NickPrice 71.714061; 90% interval: (69.549361, 71.818313)
253: DannyEdwards 71.714672; 90% interval: (71.069523, 71.818313)
254: BrettQuigley 71.715321; 90% interval: (71.005953, 71.818313)
255: IanWoosnam 71.730060; 90% interval: (68.915749, 71.818313)
256: ScottPiercy 71.730533; 90% interval: (69.063086, 71.818313)
257: DarrenClarke 71.731814; 90% interval: (70.857393, 72.474990)
258: DaveStockton,Jr. 71.732019; 90% interval: (71.333359, 71.818313)
259: BrettUpper 71.739074; 90% interval: (71.645802, 72.232946)
260: JasonCaron 71.746355; 90% interval: (71.498285, 71.818313)
261: MarkCalcavecchia 71.747972; 90% interval: (70.493738, 71.818313)
262: DerekGillespie 71.748400; 90% interval: (70.965832, 71.818313)
263: JamesH.McLean 71.749978; 90% interval: (71.387549, 71.818313)
264: KevinStreelman 71.751713; 90% interval: (71.475326, 72.490285)
265: DaveRummells 71.752339; 90% interval: (70.395407, 71.894783)
266: RonCastillo,Jr. 71.755466; 90% interval: (70.232155, 72.179395)
267: DavidRoesch 71.755717; 90% interval: (70.750581, 72.466116)
268: MichaelCampbell 71.758223; 90% interval: (70.391515, 72.685128)
269: GregMeyer 71.760611; 90% interval: (70.029595, 71.818313)
270: ScottDrummond 71.768615; 90% interval: (70.852563, 71.818313)
271: ArronOberholser 71.769099; 90% interval: (71.201564, 72.299708)
272: JimFuryk 71.779006; 90% interval: (68.947852, 71.818313)
273: RickyTouma 71.779717; 90% interval: (71.537802, 72.411295)
274: MarkHensby 71.785043; 90% interval: (71.770614, 71.818313)
275: WilliamLinkIV 71.799095; 90% interval: (70.006256, 71.818313)
276: AndyBarrett 71.810683; 90% interval: (71.249373, 72.154321)
277: BobLohr 71.812683; 90% interval: (69.585034, 71.818313)
278: MichaelPearson 71.815312; 90% interval: (70.780680, 71.818313)
279: SeanPacetti 71.818313; 90% interval: (71.752404, 72.236496)
280: FredFunk 71.818313; 90% interval: (71.628227, 72.167292)
281: StephenAllan 71.818313; 90% interval: (71.519492, 71.906878)
282: LarryMize 71.818313; 90% interval: (71.446259, 71.911704)
283: RobertDamron 71.818313; 90% interval: (71.763063, 72.097885)
284: DavidToms 71.818313; 90% interval: (70.935089, 72.097904)
285: BryantMacKellar 71.818313; 90% interval: (71.253092, 73.304769)
286: CraigDoell 71.818313; 90% interval: (71.616241, 72.156613)
287: BobSowards 71.818313; 90% interval: (70.653997, 72.194650)
288: ToddBarranger 71.818313; 90% interval: (69.777485, 72.294548)
289: MacO'Grady 71.818313; 90% interval: (71.818313, 75.285951)
290: StephenAmes 71.818313; 90% interval: (70.573286, 71.897721)
291: KellyMitchum 71.818313; 90% interval: (71.589140, 72.284020)
292: BrandtSnedeker 71.818313; 90% interval: (70.804841, 71.961332)
293: RoccoMediate 71.818313; 90% interval: (71.325539, 72.341347)
294: OlinBrowne 71.818313; 90% interval: (70.888277, 71.886943)
295: ScottWeatherly 71.818313; 90% interval: (71.487348, 72.707817)
296: MattWeibring 71.818313; 90% interval: (70.269561, 71.915835)
297: ChrisBotsford 71.818313; 90% interval: (71.556218, 72.278737)
298: GaryPlayer 71.818313; 90% interval: (71.561120, 72.173768)
299: BrianDixon 71.818313; 90% interval: (71.137359, 71.818313)
300: MichaelBeard 71.818313; 90% interval: (71.753737, 72.734311)
301: HeathWassem 71.818313; 90% interval: (71.746489, 73.502589)
302: MikeSposa 71.818313; 90% interval: (69.471149, 71.818313)
303: RichardS.Johnson 71.818313; 90% interval: (71.764580, 74.650165)
304: SteveElkington 71.818313; 90% interval: (70.966570, 72.919107)
305: DavidIshii 71.818313; 90% interval: (70.870001, 71.825946)
306: DavisLoveIII 71.818313; 90% interval: (70.854797, 71.818313)
307: JonMills 71.818313; 90% interval: (71.818313, 73.108053)
308: DavidMathis 71.818313; 90% interval: (71.818313, 73.462202)
309: BrockMackenzie 71.818313; 90% interval: (71.818313, 73.201874)
310: TomByrum 71.818313; 90% interval: (70.889971, 72.300021)
311: WayneLevi 71.818313; 90% interval: (71.577941, 72.158359)
312: JohnSenden 71.818313; 90% interval: (71.047877, 73.391222)
313: JohnHuston 71.818313; 90% interval: (70.815021, 72.284989)
314: GusCable 71.818313; 90% interval: (68.861885, 72.199420)
315: JimGallagher,Jr. 71.818313; 90% interval: (70.374764, 73.187799)
316: DougBarron 71.818313; 90% interval: (71.818313, 72.572836)
