95: JustinRose 61.283143; 90% interval: (47.355463, 78.318058)
96: MichaelAllen 61.313142; 90% interval: (52.845230, 70.609595)
97: MiguelAngelJimenez 61.324476; 90% interval: (52.474024, 70.701158)
98: Jean-FrancoisRemesy 61.327475; 90% interval: (50.864383, 67.174059)
99: DudleyHart 61.472335; 90% interval: (54.489674, 69.236837)
100: RonPhilo,Jr. 61.686588; 90% interval: (52.842032, 72.126669)
101: BoVanPelt 61.696491; 90% interval: (51.820678, 70.054784)
102: KeithFergus 61.697623; 90% interval: (52.707512, 80.957814)
103: BobSowards 61.835705; 90% interval: (49.346810, 73.550102)
104: ScottMcCarron 61.910152; 90% interval: (47.699171, 68.146416)
105: JyotiRandhawa 62.052651; 90% interval: (56.078851, 67.540121)
106: RobertThompson 62.109118; 90% interval: (43.445237, 73.772541)
107: KeiichiroFukabori 62.325282; 90% interval: (56.273238, 68.906604)
108: JohnAber 62.365985; 90% interval: (50.657172, 68.505949)
109: DaisukeMaruyama 62.430288; 90% interval: (51.373169, 75.141776)
110: VaughnTaylor 62.525388; 90% interval: (56.554276, 72.261313)
111: CameronDoan 62.724816; 90% interval: (45.545083, 72.158086)
112: NiclasFasth 62.801943; 90% interval: (52.941521, 66.826377)
113: NathanSmith 62.989442; 90% interval: (58.417399, 68.204477)
114: RyanWelborn 63.045917; 90% interval: (56.327617, 73.856276)
115: JinPark 63.047680; 90% interval: (54.052726, 70.370430)
116: J.P.Hayes 63.153350; 90% interval: (56.687173, 69.426721)
117: SpikeMcRoy 63.161392; 90% interval: (59.450279, 69.248009)
118: ParkerMcLachlin 63.167790; 90% interval: (52.490517, 72.723459)
119: JohnShawver 63.419296; 90% interval: (55.313012, 77.738988)
120: SteveFriesen 63.452605; 90% interval: (57.228628, 68.806723)
121: SteveGotsche 63.569994; 90% interval: (59.711260, 69.392846)
122: BenCrenshaw 63.680488; 90% interval: (57.711741, 72.314533)
123: MarcoDawson 63.805865; 90% interval: (57.987478, 74.394115)
124: FuzzyZoeller 63.840659; 90% interval: (51.637285, 68.816363)
125: DarrenClarke 63.864458; 90% interval: (53.947391, 71.125402)
126: NickO'Hern 63.908373; 90% interval: (58.446228, 68.137010)
127: DennisColligan 63.917217; 90% interval: (55.775449, 73.482715)
128: KevinSutherland 63.941016; 90% interval: (59.129932, 68.946080)
129: ShigekiMaruyama 63.947840; 90% interval: (55.248763, 70.348491)
130: PhillipPrice 64.159269; 90% interval: (55.596213, 72.843380)
131: KentJones 64.235559; 90% interval: (55.741973, 74.931234)
132: CliffKresge 64.236936; 90% interval: (56.322353, 70.227145)
133: LucasGlover 64.241539; 90% interval: (60.168637, 71.317122)
134: BrendenPappas 64.260741; 90% interval: (46.188947, 80.529846)
135: TimHerron 64.267640; 90% interval: (56.830208, 77.011852)
136: DanPohl 64.287853; 90% interval: (56.955191, 70.440128)
137: MacO'Grady 64.338608; 90% interval: (54.782051, 69.748865)
138: SeanEnglish 64.376911; 90% interval: (56.902395, 74.394180)
139: NotahBegayIII 64.396055; 90% interval: (58.469913, 72.048436)
140: HiroyukiFujita 64.423638; 90% interval: (58.200604, 77.454375)
141: AaronBaddeley 64.443920; 90% interval: (42.806206, 70.321527)
142: MichaelCampbell 64.453967; 90% interval: (54.818594, 73.752814)
